Gene,DiffusionScore
LAMP1,0.0003725644178923071
RPL10,0.00037247640508455157
CDK9,0.0003716146645611796
GAPDH,0.0003703394324070582
AAR2,0.00037020712835756546
GNB2L1,0.0003701000705442089
RC3H2,0.0003693734121627226
CCT2,0.0003677024152215754
CDC37,0.00036679776176780544
PTEN,0.00036631808279719014
HIST1H1E,0.0003653508593014472
RPL31,0.00036523863073315303
RPL13,0.0003629142101182022
HIST1H1C,0.000362477297734087
PABPC1,0.0003624193689906206
BAG3,0.000362135319956874
PTPN1,0.0003619912149966707
RHOJ,0.00036011097550004144
PCBP1,0.0003587632266264881
HSP90B1,0.0003586413302101611
TRIM37,0.0003582268508591226
CLEC16A,0.0003576110974238318
SUZ12,0.0003572134640299534
DDB1,0.000357044653767096
CLTC,0.00035666368419115025
MDM2,0.00035643171548984835
RAC3,0.0003562649102353302
WWOX,0.000356197880929072
TOP1,0.0003561150470895465
FGFR1,0.0003553167032311255
UBE2I,0.00035406743911804136
MKI67,0.000354049161262636
RPL7A,0.00035364809815850164
MIDN,0.0003531758845887441
U2AF2,0.00035287949250866336
SIRT6,0.00035264454323509893
SNRNP40,0.0003516816873338179
C9orf78,0.0003511307711080478
FXR1,0.000350647667298576
MATR3,0.00035042013289377026
DDX3X,0.0003503163539941546
BMI1,0.00035022004076900394
HNRNPC,0.00034947005034946266
BRD7,0.00034946636134025204
BAG2,0.00034818658358499153
FBL,0.00034792282806683593
UBE2M,0.00034709855021240087
AIFM1,0.000347076013798953
RPLP0,0.00034630216041654153
TRAF2,0.00034350549763046957
CBX3,0.00034294751972278593
RAB9A,0.00034270632178439375
STUB1,0.0003424855332187831
FLNA,0.0003421292346427785
RPL11,0.00034190969621573626
MARCKS,0.0003415080754026777
CSNK2B,0.0003409165188147916
RPS3A,0.0003408542578682554
CKAP4,0.00034039866536645025
RPS8,0.0003399221258112559
LAMP2,0.000339748493720339
FBXO7,0.0003394919169727751
GJA1,0.0003392577235923617
RPS2,0.0003390407940571043
RPS19,0.000338982756737003
